Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_1.txt	200	67	3	Optimal	25.195191860198975	A	149.0	397.0	546.0	1.0	149.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_2.txt	200	67	5	Optimal	44.081382036209106	A	321.0	754.0	1075.0	1.0	321.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_3.txt	200	67	10	Optimal	69.69286012649536	A	564.0	1265.0	1829.0	1.0	564.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_4.txt	200	67	15	Optimal	174.86772298812866	A	725.0	2099.0	2824.0	1.0	725.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed10_5.txt	200	67	20	Optimal	135.5612599849701	A	909.0	2599.0	3508.0	1.0	909.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_1.txt	300	5	3	Optimal	2310.882483959198	A	178.0	261.0	439.0	256.0	178.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_2.txt	300	5	5	TimeLimit	3600.182288169861	A	300.0	499.0	799.0	27.0	292.0	0.02666666666666667
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_3.txt	300	5	10	TimeLimit	3600.2787771224976	A	598.0	876.0	1474.0	1.0	558.0	0.06688963210702341
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_4.txt	300	5	15	TimeLimit	3600.3759911060333	A	986.0	1479.0	2465.0	1.0	833.0	0.15517241379310345
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed11_5.txt	300	5	20	TimeLimit	3600.53861784935	A	1227.0	1703.0	2930.0	1.0	1103.0	0.10105949470252648
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_1.txt	300	10	3	Optimal	425.8258001804352	A	193.0	340.0	533.0	1.0	193.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_2.txt	300	10	5	TimeLimit	3600.1187739372253	A	314.0	634.0	948.0	248.0	305.0	0.028662420382165606
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_3.txt	300	10	10	TimeLimit	3600.2526450157166	A	679.0	1449.0	2128.0	1.0	534.0	0.21354933726067746
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_4.txt	300	10	15	TimeLimit	3600.341290950775	A	980.0	1771.0	2751.0	1.0	792.0	0.19183673469387755
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed12_5.txt	300	10	20	TimeLimit	3600.523703813553	A	1473.0	2106.0	3579.0	1.0	1143.0	0.2240325865580448
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_1.txt	300	30	3	Optimal	68.22509002685547	A	153.0	341.0	494.0	1.0	153.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_2.txt	300	30	5	Optimal	154.69582200050354	A	253.0	544.0	797.0	1.0	253.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_3.txt	300	30	10	Optimal	767.3716669082642	A	461.0	1276.0	1737.0	282.0	461.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_4.txt	300	30	15	TimeLimit	3600.662845849991	A	798.0	1855.0	2653.0	1.0	699.0	0.12406015037593984
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed13_5.txt	300	30	20	TimeLimit	3600.9568638801575	A	970.0	2537.0	3507.0	1.0	886.0	0.0865979381443299
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_1.txt	300	60	3	Optimal	81.47159695625305	A	178.0	348.0	526.0	1.0	178.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_2.txt	300	60	5	Optimal	76.35060095787048	A	287.0	648.0	935.0	1.0	287.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_3.txt	300	60	10	Optimal	175.60642099380493	A	581.0	1183.0	1764.0	1.0	581.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_4.txt	300	60	15	Optimal	244.8045380115509	A	742.0	1842.0	2584.0	1.0	742.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed14_5.txt	300	60	20	Optimal	463.9457850456238	A	989.0	2684.0	3673.0	1.0	989.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_1.txt	300	100	3	Optimal	42.06105184555054	A	131.0	301.0	432.0	1.0	131.0	0.0
MIP	../../instancesSurcharges/alpha0_3/pmed/pmed15_2.txt	300	100	5	Optimal	96.98717594146729	A	235.0	557.0	792.0	1.0	235.0	0.0
