Instances	 nnodes	 p	 strates	 faisabilite	 temps	 fctObj	 As	 Bs	 As+Bs	 noeuds	 borne	 gap
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_1.txt	50	5	3	Optimal	59.60390305519104	AB	104.0	157.0	261.0	2958.0	261.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_2.txt	50	5	5	Optimal	135.05369305610657	AB	179.0	275.0	454.0	2186.0	454.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_3.txt	50	5	10	Optimal	42.11287713050842	AB	355.0	575.0	930.0	173.0	930.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_4.txt	50	5	15	Optimal	209.2065041065216	AB	539.0	795.0	1334.0	1250.0	1334.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p10_5.txt	50	5	20	TimeLimit	3600.033586025238	AB	773.0	1189.0	1962.0	35282.0	1958.0000000001153	0.0020387359836313563
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_1.txt	100	10	3	Optimal	1120.6603598594666	AB	72.0	95.0	167.0	2725.0	167.0	0.0
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_2.txt	100	10	5	TimeLimit	3600.0074648857117	AB	120.0	179.0	299.0	1545.0	272.0	0.0903010033444816
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_3.txt	100	10	10	TimeLimit	3600.0204169750214	AB	285.0	386.0	671.0	1112.0	580.0	0.13561847988077497
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_4.txt	100	10	15	TimeLimit	3600.1514270305634	AB	428.0	541.0	969.0	942.0	875.0	0.09700722394220847
MIP	../../instancesSurcharges/alpha0_3/Beasley/p11_5.txt	100	10	20	TimeLimit	3600.5693910121918	AB	563.0	810.0	1373.0	461.0	1127.0	0.17916970138383104
MIP	../../instancesSurcharges/alpha0_3/Beasley/p12_1.txt	100	10	3	TimeLimit	3600.0055661201477	AB	78.0	104.0	182.0	3001.0	164.0	0.0989010989010989
